restaurant_id,name,picture,detail_url,latitude,longitude
55,クッチーナピノッキオ,https://tblg.k-img.com/restaurant/images/Rvw/24813/320x320_square_24813969.jpg,https://tabelog.com/kanagawa/A1401/A140203/14037484/,35.543675,139.575283
56,パッパーレ・ヴィーノ,https://tblg.k-img.com/restaurant/images/Rvw/31292/320x320_square_31292544.jpg,https://tabelog.com/kanagawa/A1401/A140101/14049011/,35.4652725,139.6232146
57,オッティモ・シーフード・ガーデン 横浜店,https://tblg.k-img.com/restaurant/images/Rvw/133960/320x320_square_133960186.jpg,https://tabelog.com/kanagawa/A1401/A140101/14012967/,35.4652241,139.6227365
58,チャコールグリル グリーン 石川町,https://tblg.k-img.com/restaurant/images/Rvw/24864/320x320_square_24864161.jpg,https://tabelog.com/kanagawa/A1401/A140105/14029049/,35.4387099,139.6444737
59,リストランテ・アッティモ,https://tblg.k-img.com/restaurant/images/Rvw/81549/320x320_square_81549392.jpg,https://tabelog.com/kanagawa/A1401/A140103/14003828/,35.4595129,139.6364263
60,慶福楼 本店 市場通り,https://tblg.k-img.com/restaurant/images/Rvw/55218/320x320_square_55218157.jpg,https://tabelog.com/kanagawa/A1401/A140105/14030707/,35.44277,139.646346
61,ダンゼロ,https://tblg.k-img.com/restaurant/images/Rvw/70957/320x320_square_70957762.jpg,https://tabelog.com/kanagawa/A1401/A140103/14021015/,35.4599904,139.6359936
62,サンクアロマ,https://tblg.k-img.com/restaurant/images/Rvw/14159/320x320_square_14159202.jpg,https://tabelog.com/kanagawa/A1401/A140201/14002274/,35.578485,139.565541
63,鉄板ダイニング 哲,https://tblg.k-img.com/restaurant/images/Rvw/20398/320x320_square_20398741.jpg,https://tabelog.com/kanagawa/A1401/A140104/14037065/,35.446782,139.639461
64,bistro GHIOTTO,https://tblg.k-img.com/restaurant/images/Rvw/81341/320x320_square_81341699.jpg,https://tabelog.com/kanagawa/A1401/A140204/14021430/,35.5528702,139.6454013
65,炭火焼きステーキ&ハンバーグ アンカーグラウンド 馬車道店,https://tblg.k-img.com/restaurant/images/Rvw/97476/320x320_square_97476232.jpg,https://tabelog.com/kanagawa/A1401/A140103/14053407/,35.4513126,139.6376463
66,鉄板焼　ぼんの,https://tblg.k-img.com/restaurant/images/Rvw/58920/320x320_square_58920476.jpg,https://tabelog.com/kanagawa/A1401/A140102/14001859/,35.450949,139.62934
67,熟成和牛焼肉エイジング・ビーフ 横浜店,https://tblg.k-img.com/restaurant/images/Rvw/85491/320x320_square_85491700.jpg,https://tabelog.com/kanagawa/A1401/A140212/14073774/,35.4692573,139.6243402
68,水信フルーツパーラー,https://tblg.k-img.com/restaurant/images/Rvw/134071/320x320_square_134071430.jpg,https://tabelog.com/kanagawa/A1401/A140104/14079039/,35.4509653,139.6359248
69,イタリアンバル AMIGO,https://tblg.k-img.com/restaurant/images/Rvw/69307/320x320_square_69307522.jpg,https://tabelog.com/kanagawa/A1401/A140104/14067088/,35.4473585,139.6364223
70,シルク,https://tblg.k-img.com/restaurant/images/Rvw/44742/320x320_square_44742715.jpg,https://tabelog.com/kanagawa/A1401/A140104/14006715/,35.4452243,139.6444474
71,熟成和牛ステーキグリルド エイジング・ビーフ 横浜店,https://tblg.k-img.com/restaurant/images/Rvw/62741/320x320_square_62741446.jpg,https://tabelog.com/kanagawa/A1401/A140101/14052655/,35.4679328,139.6230528
72,和食と炭火焼 三代目 うな衛門 桜木町店,https://tblg.k-img.com/restaurant/images/Rvw/51683/320x320_square_51683100.jpg,https://tabelog.com/kanagawa/A1401/A140102/14057390/,35.4495518,139.6292338
73,ヴェール パール ナオミ オオガキ,https://tblg.k-img.com/restaurant/images/Rvw/62410/320x320_square_62410858.jpg,https://tabelog.com/kanagawa/A1401/A140104/14064445/,35.4487679,139.6397891
74,横浜鳥ぎん みなとみらい店,https://tblg.k-img.com/restaurant/images/Rvw/5593/320x320_square_5593123.jpg,https://tabelog.com/kanagawa/A1401/A140102/14001225/,35.450671,139.6327583
75,焼肉 どうらく 横浜西口本店,https://tblg.k-img.com/restaurant/images/Rvw/16188/320x320_square_16188750.jpg,https://tabelog.com/kanagawa/A1401/A140101/14031021/,35.4637692,139.6184856
76,フレンチ酒場 ボンマルシェ,https://tblg.k-img.com/restaurant/images/Rvw/119778/320x320_square_119778489.jpg,https://tabelog.com/kanagawa/A1401/A140104/14050085/,35.4460409,139.6362562
77,ラ・リラッサ,https://tblg.k-img.com/restaurant/images/Rvw/117305/320x320_square_117305739.jpg,https://tabelog.com/kanagawa/A1401/A140310/14048387/,35.3610343,139.6288426
78,QUAYS pacific grill,https://tblg.k-img.com/restaurant/images/Rvw/137670/320x320_square_137670420.jpg,https://tabelog.com/kanagawa/A1401/A140104/14077068/,35.4558495,139.6413458
79,アクイロット,https://tblg.k-img.com/restaurant/images/Rvw/125602/320x320_square_125602687.jpg,https://tabelog.com/kanagawa/A1401/A140204/14067822/,35.5545736,139.6455882
80,地葉はなれ,https://tblg.k-img.com/restaurant/images/Rvw/135594/320x320_square_135594170.jpg,https://tabelog.com/kanagawa/A1401/A140101/14074964/,35.4692598,139.6242902
81,戸塚崎陽軒 イルサッジオ,https://tblg.k-img.com/restaurant/images/Rvw/50358/320x320_square_50358133.jpg,https://tabelog.com/kanagawa/A1401/A140305/14000973/,35.3743498,139.502753
82,キッチンボンノ 桜木町,https://tblg.k-img.com/restaurant/images/Rvw/58803/320x320_square_58803169.jpg,https://tabelog.com/kanagawa/A1401/A140102/14051443/,35.4505244,139.6294056
83,ラ・タッパ フィッサ,https://tblg.k-img.com/restaurant/images/Rvw/32618/320x320_square_32618154.jpg,https://tabelog.com/kanagawa/A1401/A140105/14035140/,35.4393805,139.6470974
84,ラ・メゾン センター北店,https://tblg.k-img.com/restaurant/images/Rvw/52118/320x320_square_52118012.jpg,https://tabelog.com/kanagawa/A1401/A140203/14063342/,35.5547764,139.5795871
85,和食と炭火焼 三代目 うな衛門 横浜西口店,https://tblg.k-img.com/restaurant/images/Rvw/72347/320x320_square_72347537.jpg,https://tabelog.com/kanagawa/A1401/A140102/14067933/,35.4630096,139.6178965
86,AMI,https://tblg.k-img.com/restaurant/images/Rvw/73003/320x320_square_73003993.jpg,https://tabelog.com/kanagawa/A1401/A140105/14053615/,35.438103,139.6436659
87,イタリアーノ イワイ,https://tblg.k-img.com/restaurant/images/Rvw/145513/320x320_square_145513776.jpg,https://tabelog.com/kanagawa/A1401/A140203/14031975/,35.5439044,139.5709917
88,カリフォルニアラウンジ 矢向店,https://tblg.k-img.com/restaurant/images/Rvw/55737/320x320_square_55737707.jpg,https://tabelog.com/kanagawa/A1401/A140210/14051922/,35.540932,139.681551
89,ヒジテツ 伊勢佐木町店,https://tblg.k-img.com/restaurant/images/Rvw/9041/320x320_square_9041653.jpg,https://tabelog.com/kanagawa/A1401/A140104/14012245/,35.439744,139.630666
90,夜な夜な,https://tblg.k-img.com/restaurant/images/Rvw/143439/320x320_square_143439941.jpg,https://tabelog.com/kanagawa/A1401/A140306/14056200/,35.4316621,139.6029264
91,Y.S,https://tblg.k-img.com/restaurant/images/Rvw/27742/320x320_square_27742489.jpg,https://tabelog.com/kanagawa/A1401/A140102/14052662/,35.4540062,139.6389327
92,Bar Bar Bar,https://tblg.k-img.com/restaurant/images/Rvw/98030/320x320_square_98030893.jpg,https://tabelog.com/kanagawa/A1401/A140104/14000527/,35.4460098,139.6390736
93,本格スペイン料理＆ステーキハウス　CASA DEL RIO,https://tblg.k-img.com/restaurant/images/Rvw/121135/320x320_square_121135378.jpg,https://tabelog.com/kanagawa/A1401/A140102/14069843/,35.446268,139.6295082
94,炭火焼鳥　榊,https://tblg.k-img.com/restaurant/images/Rvw/42825/320x320_square_42825061.jpg,https://tabelog.com/kanagawa/A1401/A140102/14060507/,35.4486822,139.6310647
95,Restaurant EISUKE,https://tblg.k-img.com/restaurant/images/Rvw/77835/320x320_square_77835255.jpg,https://tabelog.com/kanagawa/A1401/A140105/14069689/,35.4388381,139.6446612
96,〆蕎麦ぼん,https://tblg.k-img.com/restaurant/images/Rvw/108598/320x320_square_108598650.jpg,https://tabelog.com/kanagawa/A1401/A140104/14073047/,35.4418098,139.6285098
97,ワインビストロ　Dai　たまプラーザ,https://tblg.k-img.com/restaurant/images/Rvw/122394/320x320_square_122394701.jpg,https://tabelog.com/kanagawa/A1401/A140201/14046124/,35.5783478,139.5557601
98,フレンチ ビストロ lemidi 桜木町 みなとみらい,https://tblg.k-img.com/restaurant/images/Rvw/58658/320x320_square_58658425.jpg,https://tabelog.com/kanagawa/A1401/A140102/14045681/,35.4509433,139.6294347
99,関内バル 333,https://tblg.k-img.com/restaurant/images/Rvw/88668/320x320_square_88668021.jpg,https://tabelog.com/kanagawa/A1401/A140104/14054081/,35.4457161,139.636996
100,焼肉問屋 横浜醍醐,https://tblg.k-img.com/restaurant/images/Rvw/20004/320x320_square_20004650.jpg,https://tabelog.com/kanagawa/A1401/A140101/14013330/,35.468475,139.623119
101,ドウラク コリーダ ランドマーク店,https://tblg.k-img.com/restaurant/images/Rvw/44552/320x320_square_44552080.jpg,https://tabelog.com/kanagawa/A1401/A140104/14060546/,35.4551534,139.6317899
102,野菜レストランさいとう,https://tblg.k-img.com/restaurant/images/Rvw/49154/320x320_square_49154680.jpg,https://tabelog.com/kanagawa/A1401/A140205/14007920/,35.5118769,139.6323716
103,オレンジブランチ,https://tblg.k-img.com/restaurant/images/Rvw/103681/320x320_square_103681178.jpg,https://tabelog.com/kanagawa/A1401/A140102/14049402/,35.4530276,139.6284905
104,キチジョウダイニング,https://tblg.k-img.com/restaurant/images/Rvw/35826/320x320_square_35826822.jpg,https://tabelog.com/kanagawa/A1401/A140104/14008136/,35.4450721,139.6298244
105,ＳＴ　エスティ,https://tblg.k-img.com/restaurant/images/Rvw/81435/320x320_square_81435037.jpg,https://tabelog.com/kanagawa/A1401/A140105/14061775/,35.4388178,139.6497196
106,A Plus,https://tblg.k-img.com/restaurant/images/Rvw/104684/320x320_square_104684103.jpg,https://tabelog.com/kanagawa/A1401/A140202/14061424/,35.463483,139.615971
107,クルーズ・クルーズYOKOHAMA,https://tblg.k-img.com/restaurant/images/Rvw/47080/320x320_square_47080065.jpg,https://tabelog.com/kanagawa/A1401/A140101/14003355/,35.4645208,139.6246958
108,焼肉ぽんが 横浜店,https://tblg.k-img.com/restaurant/images/Rvw/121185/320x320_square_121185522.jpg,https://tabelog.com/kanagawa/A1401/A140101/14076912/,35.4667985,139.6167811
109,半平,https://tblg.k-img.com/restaurant/images/Rvw/121621/320x320_square_121621619.jpg,https://tabelog.com/kanagawa/A1401/A140201/14036557/,35.5800928,139.5586927
