cafe_id,name,picture,detail_url,latitude,longitude
58,niko and…KITCHEN,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/899a81cf06d1c3bca1afb1e95b9d254f/17055564905fd6e696c1e05_user.jpg,https://cafesnap.me/c/13474,35.4663121,139.6268565
59,珈琲文明,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/22a11e3d1eee149af25a7bebf87147ed/2789238615fd4d7aa1d737_user.jpg,https://cafesnap.me/c/2500,35.4881182,139.6263449
60,comma tea みなとみらい コレットマーレ店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/4a901c8cb426243cf3392e8023764070/1671806825fd46b0955ca1_user.jpg,https://cafesnap.me/c/14619,35.4521512,139.6310569
61,R Baker,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/9852283b277e8f55c4f0f56680a0072d/6673014445fd4645851b8b_user.jpg,https://cafesnap.me/c/10862,35.459652,139.6272622
62,HARBS 横浜ランドマークプラザ店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/d3aa70d95ffa4bc84107228ead91881a/11471231725fd4412be038c_image.jpg,https://cafesnap.me/c/5312,35.454527,139.6307155
63,Chai Tea Cafe,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/84845a6df1e1b8de6df43f29a569aa63/13461960275fd0b28f63665_user.jpg,https://cafesnap.me/c/3590,35.4433613,139.6477701
64,ANTICO CAFFE AL AVIS 横浜ジョイナス店,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/5e6e6b0191625a8e516129ea065b02d5/15010362475fd02e990981d_user.jpg,https://cafesnap.me/c/8378,35.4648438,139.6208384
65,pie Holic,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/27ddbe4fcbac45adce3722ad86eca297/19319249135fcff55ad44b1_image.jpg,https://cafesnap.me/c/8847,35.4549361,139.6417673
66,Au jardin de Perry,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/27ddbe4fcbac45adce3722ad86eca297/9433833095fce9ecfb8e8f_image.jpg,https://cafesnap.me/c/1921,35.4473214,139.6439408
67,Teafanny,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/eff1dde420f40a94a753712b9461e544/8496432035fc9f9908b14e_user.jpg,https://cafesnap.me/c/10682,35.4385092,139.6616067
68,【閉店】&ima,https://img.cafesnap.me/img-a/320/320/cafeapp/cafe-app/ontributions/8f117a4a37bbc0622032d91656de3e83/4715272885fc57bd44572f_user.jpg,https://cafesnap.me/c/6625,35.4682966,139.4940351
